OrderID,ClientID,Instrument,Type,Volume,PriceLimit,Status,PlacedAt
272000001,272,Adobe,BUY,56.46,97.41,PENDING,2026-01-30 12:08:46
272000002,272,Bitcoin,SELL,61.22,95.53,PENDING,2026-01-30 12:08:47
272000003,272,Samsung,SELL,29.76,122.86,PENDING,2026-01-30 12:08:48
580000001,580,Tesla,SELL,72.56,90.00,PENDING,2026-01-30 12:08:48
972000001,972,Netflix,BUY,32.29,119.25,PENDING,2026-01-30 12:08:48
151000001,151,Microsoft,BUY,93.03,120.02,PENDING,2026-01-30 12:08:48
689000001,689,Microsoft,BUY,14.65,108.79,PENDING,2026-01-30 12:08:48
272000004,272,IBM,SELL,42.81,78.45,PENDING,2026-01-30 12:08:49
140000001,140,IBM,SELL,58.77,81.84,PENDING,2026-01-30 12:08:49
580000002,580,Facebook,SELL,70.75,84.35,PENDING,2026-01-30 12:08:49
972000002,972,Apple,SELL,67.64,103.62,PENDING,2026-01-30 12:08:49
151000002,151,Oracle,BUY,71.74,128.06,PENDING,2026-01-30 12:08:49
689000002,689,Microsoft,SELL,84.40,93.52,PENDING,2026-01-30 12:08:49
272000005,272,Adobe,SELL,54.58,125.90,PENDING,2026-01-30 12:08:50
140000002,140,Tesla,BUY,21.28,131.38,PENDING,2026-01-30 12:08:50
580000003,580,Microsoft,BUY,12.10,126.75,PENDING,2026-01-30 12:08:50
972000003,972,Tesla,BUY,57.32,95.20,PENDING,2026-01-30 12:08:50
151000003,151,Ethereum,BUY,99.13,111.51,PENDING,2026-01-30 12:08:50
689000003,689,IBM,BUY,85.84,122.69,PENDING,2026-01-30 12:08:50
272000006,272,Apple,SELL,42.14,89.54,PENDING,2026-01-30 12:08:51
140000003,140,Ethereum,BUY,32.87,151.19,PENDING,2026-01-30 12:08:51
580000004,580,Google,SELL,75.78,80.91,PENDING,2026-01-30 12:08:51
972000004,972,IBM,SELL,22.95,92.03,PENDING,2026-01-30 12:08:51
151000004,151,IBM,SELL,50.29,81.43,PENDING,2026-01-30 12:08:51
689000004,689,Intel,SELL,85.79,84.49,PENDING,2026-01-30 12:08:51
272000007,272,Tesla,BUY,76.71,146.93,PENDING,2026-01-30 12:08:52
140000004,140,Amazon,SELL,64.72,95.69,PENDING,2026-01-30 12:08:52
580000005,580,Google,BUY,73.20,141.58,PENDING,2026-01-30 12:08:52
972000005,972,Facebook,SELL,32.61,87.20,PENDING,2026-01-30 12:08:52
151000005,151,Samsung,SELL,69.35,80.16,PENDING,2026-01-30 12:08:52
689000005,689,Adobe,BUY,70.80,119.68,PENDING,2026-01-30 12:08:52
272000008,272,Microsoft,BUY,54.81,143.54,PENDING,2026-01-30 12:08:53
140000005,140,IBM,SELL,93.09,72.02,PENDING,2026-01-30 12:08:53
580000006,580,Tesla,BUY,65.48,148.57,PENDING,2026-01-30 12:08:53
972000006,972,Apple,SELL,89.14,91.10,PENDING,2026-01-30 12:08:53
151000006,151,IBM,SELL,83.42,74.03,PENDING,2026-01-30 12:08:53
689000006,689,Adobe,SELL,71.15,107.91,PENDING,2026-01-30 12:08:53
272000009,272,Microsoft,BUY,37.51,149.28,PENDING,2026-01-30 12:08:54
140000006,140,Adobe,SELL,86.45,79.29,PENDING,2026-01-30 12:08:54
580000007,580,Samsung,SELL,75.01,96.22,PENDING,2026-01-30 12:08:54
972000007,972,Netflix,SELL,46.04,85.10,PENDING,2026-01-30 12:08:54
151000007,151,Google,SELL,44.25,75.75,PENDING,2026-01-30 12:08:54
689000007,689,Netflix,SELL,20.84,107.19,PENDING,2026-01-30 12:08:54
272000010,272,Google,BUY,28.68,148.16,PENDING,2026-01-30 12:08:55
140000007,140,Ripple,SELL,49.69,78.24,PENDING,2026-01-30 12:08:55
580000008,580,Google,BUY,44.84,130.40,PENDING,2026-01-30 12:08:55
972000008,972,Oracle,BUY,80.22,127.12,PENDING,2026-01-30 12:08:55
151000008,151,Tesla,BUY,48.09,132.61,PENDING,2026-01-30 12:08:55
689000008,689,Apple,SELL,79.87,74.26,PENDING,2026-01-30 12:08:55
272000011,272,Ripple,BUY,49.33,107.28,PENDING,2026-01-30 12:08:56
140000008,140,Oracle,BUY,21.04,118.11,PENDING,2026-01-30 12:08:56
580000009,580,Samsung,BUY,83.99,112.51,PENDING,2026-01-30 12:08:56
972000009,972,Bitcoin,BUY,94.39,134.22,PENDING,2026-01-30 12:08:56
151000009,151,Microsoft,SELL,15.01,107.37,PENDING,2026-01-30 12:08:56
689000009,689,Amazon,BUY,68.58,126.23,PENDING,2026-01-30 12:08:56
272000012,272,Samsung,SELL,63.42,112.00,PENDING,2026-01-30 12:08:57
140000009,140,Ethereum,SELL,88.42,61.53,PENDING,2026-01-30 12:08:57
580000010,580,Bitcoin,SELL,13.59,91.24,PENDING,2026-01-30 12:08:57
972000010,972,Samsung,BUY,28.35,142.50,PENDING,2026-01-30 12:08:57
151000010,151,Oracle,SELL,87.71,121.71,PENDING,2026-01-30 12:08:57
689000010,689,Facebook,BUY,35.69,130.70,PENDING,2026-01-30 12:08:57
272000013,272,Ripple,SELL,82.10,114.67,PENDING,2026-01-30 12:08:58
140000010,140,Ripple,SELL,80.56,97.89,PENDING,2026-01-30 12:08:58
580000011,580,Amazon,SELL,78.91,92.51,PENDING,2026-01-30 12:08:58
972000011,972,Adobe,SELL,97.73,88.19,PENDING,2026-01-30 12:08:58
151000011,151,Adobe,BUY,26.48,117.43,PENDING,2026-01-30 12:08:58
689000011,689,Bitcoin,BUY,20.78,108.81,PENDING,2026-01-30 12:08:58
272000014,272,Intel,BUY,17.49,137.34,PENDING,2026-01-30 12:08:59
140000011,140,Google,BUY,24.81,123.71,PENDING,2026-01-30 12:08:59
580000012,580,Microsoft,SELL,74.81,102.59,PENDING,2026-01-30 12:08:59
972000012,972,Netflix,BUY,80.63,136.95,PENDING,2026-01-30 12:08:59
151000012,151,Netflix,BUY,61.38,144.05,PENDING,2026-01-30 12:08:59
689000012,689,Amazon,SELL,89.37,92.27,PENDING,2026-01-30 12:08:59
272000015,272,Google,BUY,84.18,130.14,PENDING,2026-01-30 12:09:00
140000012,140,Ethereum,BUY,78.03,117.65,PENDING,2026-01-30 12:09:00
580000013,580,Facebook,SELL,47.59,104.10,PENDING,2026-01-30 12:09:00
972000013,972,Tesla,BUY,27.54,127.67,PENDING,2026-01-30 12:09:00
151000013,151,Samsung,SELL,84.88,96.62,PENDING,2026-01-30 12:09:00
689000013,689,Microsoft,BUY,13.59,105.07,PENDING,2026-01-30 12:09:00
272000016,272,Apple,BUY,86.57,139.81,PENDING,2026-01-30 12:09:01
140000013,140,Bitcoin,SELL,79.07,117.00,PENDING,2026-01-30 12:09:01
580000014,580,Tesla,SELL,44.68,111.80,PENDING,2026-01-30 12:09:01
972000014,972,Netflix,BUY,17.65,150.24,PENDING,2026-01-30 12:09:01
151000014,151,Oracle,SELL,58.07,112.71,PENDING,2026-01-30 12:09:01
689000014,689,Ripple,SELL,94.47,108.77,PENDING,2026-01-30 12:09:01
272000017,272,Google,BUY,42.60,108.40,PENDING,2026-01-30 12:09:02
140000014,140,Bitcoin,SELL,91.45,96.44,PENDING,2026-01-30 12:09:02
580000015,580,Apple,BUY,54.63,121.90,PENDING,2026-01-30 12:09:02
972000015,972,IBM,SELL,25.01,96.67,PENDING,2026-01-30 12:09:02
151000015,151,Bitcoin,SELL,11.64,101.26,PENDING,2026-01-30 12:09:02
689000015,689,Oracle,BUY,42.23,121.72,PENDING,2026-01-30 12:09:02
272000018,272,Adobe,BUY,70.17,104.65,PENDING,2026-01-30 12:09:03
140000015,140,Apple,BUY,72.47,132.13,PENDING,2026-01-30 12:09:03
580000016,580,Ripple,SELL,93.62,76.28,PENDING,2026-01-30 12:09:03
972000016,972,Facebook,BUY,81.41,152.87,PENDING,2026-01-30 12:09:03
151000016,151,Microsoft,SELL,58.26,103.72,PENDING,2026-01-30 12:09:03
689000016,689,Google,BUY,89.70,137.84,PENDING,2026-01-30 12:09:03
272000019,272,Amazon,SELL,50.70,98.30,PENDING,2026-01-30 12:09:04
140000016,140,Tesla,BUY,10.93,124.22,PENDING,2026-01-30 12:09:04
580000017,580,Samsung,BUY,21.78,129.10,PENDING,2026-01-30 12:09:04
972000017,972,Intel,BUY,48.83,104.12,PENDING,2026-01-30 12:09:04
151000017,151,Samsung,BUY,36.49,123.68,PENDING,2026-01-30 12:09:04
689000017,689,Facebook,BUY,69.97,116.87,PENDING,2026-01-30 12:09:04
272000020,272,Amazon,BUY,15.36,101.55,PENDING,2026-01-30 12:09:05
140000017,140,IBM,BUY,88.78,131.38,PENDING,2026-01-30 12:09:05
580000018,580,Ethereum,SELL,11.77,86.43,PENDING,2026-01-30 12:09:05
972000018,972,Tesla,BUY,53.33,137.22,PENDING,2026-01-30 12:09:05
151000018,151,Netflix,SELL,87.63,101.56,PENDING,2026-01-30 12:09:05
689000018,689,Tesla,BUY,83.78,141.09,PENDING,2026-01-30 12:09:05
272000021,272,Facebook,BUY,23.49,115.77,PENDING,2026-01-30 12:09:06
140000018,140,Adobe,SELL,33.46,100.47,PENDING,2026-01-30 12:09:06
580000019,580,Samsung,SELL,64.81,108.22,PENDING,2026-01-30 12:09:06
972000019,972,Ripple,SELL,53.96,108.73,PENDING,2026-01-30 12:09:06
151000019,151,Apple,SELL,65.97,110.55,PENDING,2026-01-30 12:09:06
689000019,689,Ripple,BUY,13.58,145.62,PENDING,2026-01-30 12:09:06
272000022,272,Intel,SELL,89.43,120.76,PENDING,2026-01-30 12:09:07
140000019,140,IBM,SELL,86.70,101.17,PENDING,2026-01-30 12:09:07
580000020,580,IBM,BUY,24.08,125.13,PENDING,2026-01-30 12:09:07
972000020,972,Ethereum,SELL,24.78,83.78,PENDING,2026-01-30 12:09:07
151000020,151,Samsung,BUY,69.91,125.03,PENDING,2026-01-30 12:09:07
689000020,689,Samsung,BUY,71.41,123.73,PENDING,2026-01-30 12:09:07
272000023,272,Microsoft,SELL,73.49,99.65,PENDING,2026-01-30 12:09:08
140000020,140,Netflix,BUY,52.52,134.51,PENDING,2026-01-30 12:09:08
580000021,580,Netflix,BUY,93.83,143.71,PENDING,2026-01-30 12:09:08
972000021,972,Samsung,BUY,15.43,117.38,PENDING,2026-01-30 12:09:08
151000021,151,Netflix,BUY,85.73,145.15,PENDING,2026-01-30 12:09:08
689000021,689,Samsung,SELL,94.93,118.97,PENDING,2026-01-30 12:09:08
272000024,272,Apple,BUY,75.29,151.06,PENDING,2026-01-30 12:09:09
140000021,140,Intel,BUY,21.67,144.20,PENDING,2026-01-30 12:09:09
580000022,580,Google,SELL,72.96,103.20,PENDING,2026-01-30 12:09:09
972000022,972,Ethereum,SELL,25.87,81.46,PENDING,2026-01-30 12:09:09
151000022,151,Intel,BUY,48.93,115.96,PENDING,2026-01-30 12:09:09
689000022,689,Adobe,BUY,61.16,112.53,PENDING,2026-01-30 12:09:09
272000025,272,Oracle,BUY,62.51,112.71,PENDING,2026-01-30 12:09:10
140000022,140,Ripple,SELL,52.47,97.66,PENDING,2026-01-30 12:09:10
580000023,580,Google,SELL,15.79,87.94,PENDING,2026-01-30 12:09:10
972000023,972,Ripple,BUY,33.94,106.66,PENDING,2026-01-30 12:09:10
151000023,151,Facebook,SELL,37.70,89.75,PENDING,2026-01-30 12:09:10
689000023,689,Intel,SELL,91.12,80.87,PENDING,2026-01-30 12:09:10
272000026,272,Apple,SELL,76.58,100.24,PENDING,2026-01-30 12:09:11
140000023,140,Amazon,SELL,78.25,78.99,PENDING,2026-01-30 12:09:11
580000024,580,Ethereum,BUY,88.70,129.52,PENDING,2026-01-30 12:09:11
